,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
49,0.00028957,-0.01828249,0.00241491,0.76866509,1.85789047,-0.98506794,2003.84708185,-0.6544431533661559,0.3572154872641201,-0.5502455405916492,0.07530228063707785,0.05617176088108748,-1.1127787485630252,0.7598154796677004,4.401853550853658
8,-0.0411824,0.08529849,0.02948899,3.12960051,-2.30567171,0.74228266,2291.37705245,-0.16360344723222608,-2.299308811178182,-1.8767417315250134,-1.15275120880585,-1.1595426581766788,0.47808682266384483,-1.1592529627818005,4.435191536208298
36,-0.04629218,0.07928864,0.03200241,3.1122183,-2.30085823,0.77592538,2133.27790167,-0.007606069188656334,-2.494527656523202,-1.9009008159329392,-1.0632802516471374,-1.1371366823343119,0.49040455232226876,-1.1096220609461924,4.50309628189812
63,-0.00528915,0.00122535,-0.00842128,0.3888047,-2.12942832,-0.19771879,1669.84402168,-0.8325536364312142,0.6667401513691024,-0.8243029030173834,-4.184690788535929,0.5569476945405119,-0.7650717346270165,0.863584862860733,4.585398678112233
92,0.05852015,0.11220811,0.00075085,0.23372605,-1.53159443,2.00438188,3099.18984412,-0.22880487716033007,2.552567295466756,-0.20382748820333862,0.09408219607132279,0.03908910497518949,-3.9641456506705004,0.08295895192004768,4.752514405698993
65,-0.00528034,0.00181385,-0.00414574,2.81732707,-1.20898277,-2.65168691,1280.0,-0.565700842270281,0.4884037275976597,0.5219672067792728,-4.6714985502719895,0.43494630175022175,-0.5566143560451393,0.4193387398712219,4.835904606882987
4,0.05748973,0.08604577,-0.00060514,0.63184581,-1.56631289,-2.31362563,1463.03218198,-0.31759445884555776,0.7541763983453955,-0.33895706450737334,-0.6790127451371041,0.09288658878861603,1.2576365963239764,0.26251016810435335,4.842010398190199
78,-0.00882241,0.00203167,-0.00964183,0.13262076,-1.97387278,0.04862634,2184.55472837,-0.7306564390091842,0.5335261604873421,-0.25187434938899167,-4.688357529640224,0.4639318019118761,-0.6657164942568523,0.6120697046949415,4.89460120729239
81,0.15080164,0.00477416,-0.00988823,2.59445671,-1.10731179,0.17431691,1868.27452001,-0.15846702124800896,-0.2660466118447262,-0.25975040979192565,0.5426047216152593,1.0053826769597523,-4.714695814426198,0.45280511184156635,4.901205214653131
0,0.00034971,-0.01159901,-0.00014804,2.68733669,-1.31028878,0.79747734,1623.59141252,0.5131425250108013,-3.4467926815851966,0.3448816293741888,-3.3847143453900697,0.40234964477020707,-0.519785565719004,0.4595915084858897,4.954334932157432
39,0.02245271,0.10211727,-0.01819946,0.09443907,-1.50377911,-1.0510489,2360.45349211,-0.5601257098597143,1.363653131341295,-0.10227347332320387,0.4119622024595916,-0.2612952909901042,-4.739846960715515,0.010014776256027258,5.036115311618732
68,-0.00296572,0.0002233,-0.00216233,3.11925974,-1.24319986,-2.95042241,1280.0,-0.4516115812719609,0.28992749534943923,0.12488939364346732,-4.9854915818723535,0.36999341190534,-0.5799531408449482,0.4201757486749108,5.08458338004512
45,0.06057301,0.11146841,-8.262e-05,1.0538311,-1.74058359,1.14202398,3300.74827418,0.2994090025066708,2.3936939829194865,-0.04955350069058555,0.03187418248900648,-0.5300106665956794,-4.649470150011003,0.12420994932504813,5.294830680387926
37,0.00564635,-0.02515822,-0.00309497,0.96981754,1.98527379,2.44578991,2761.26301423,-0.6831601245930761,0.38595752167172587,-0.5092237571588598,-0.008209870798893251,0.1777206621401874,-1.1655830584683133,1.5643352937168122,5.312237663122585
21,-0.03006941,-0.07749271,-0.02835259,2.85103245,2.52973361,-2.4049844,2578.70216592,0.5381729754297824,0.46503818172367173,0.4854886792082949,0.8077822671088422,2.066755933584698,-0.06163316262761766,4.416585647824079,5.334222136369148
29,-0.01019356,0.00318881,-0.00898034,2.87329795,-1.20268721,-2.69799103,2073.7633274,-0.7190009426039022,0.5389024598409038,0.45393338563365515,-5.240345348254314,0.4955195022886424,-0.6434550557234293,0.5423577816172174,5.431334077621246
27,-0.00724958,0.00220812,0.00761222,3.12531403,-1.15907987,0.19559226,1627.83458605,-0.7875674841373346,0.6095213788982055,0.0025433501258658175,-5.274034474014177,0.5480731938822186,-0.7179857440836576,0.6880649448514713,5.4928504291016775
97,0.06292168,0.06840893,-0.00028244,2.95653129,-1.24878869,-1.47441102,1623.40767185,-0.25147858113294386,1.0355962028167416,-0.2854587634210543,-0.6125468383132714,0.10569058482351873,1.161612871208264,0.2627383224750072,5.752104101940029
59,0.0020464,0.0054565,-0.0005379,1.40982955,1.48159474,-0.36830353,2226.19459835,-0.2978706376051866,-0.03720280029671308,-0.2044924092275158,0.13256891438600177,0.027636293814243297,-1.123031779376143,-0.3189906846562798,5.80777066687267
14,-0.00765561,0.00244379,-0.00678708,2.91389202,-1.19189437,-2.73880056,1609.82348233,-0.7662221054609222,0.5982426721413696,0.41664730460328264,-5.666845472477443,0.540927029583991,-0.701749627234989,0.6262484719371976,5.87254604634454
86,0.00267688,0.00016476,-0.01449965,1.12377478,-2.27758053,0.07303017,1280.0,-4.415815409266858,2.3051000621463706,-0.2708864818736422,-0.3266968788424486,0.6332144508774558,0.49562368785073513,1.9142382859441534,6.160432609566873
72,0.027023,0.08479625,0.02184416,2.55661137,-1.59588967,-2.6156036,1280.0,-2.862415928224035,-4.964556994529554,-1.6186119407726889,-1.0436900366799498,0.3079149714030043,0.18628992293828184,0.4718216512628234,6.18837692068602
96,-0.04088713,0.33621031,-0.03904074,0.47896971,-1.13500825,2.6002818,1292.50039787,-1.3455611152000009,6.503303696741003,-0.5248905640497987,2.4526119319880655,-0.25736713613474604,0.08722408059656167,-0.22777746057837184,7.188263941578238
